File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
27-002_E14_before,27-002,E14,3/13/18,1353,AF,BF,before,1,9,8,146384,153616,32316,267684,20669,125715,140828,159172,1590,none
27-002_E9_before,27-002,E9,03/12/18,1137,AF , BF,before,0,18,7,90097,208148,231509,66735,76677,13420,32330,265916,0,none
27-002_E9_before,27-002,E9,03/12/18,1137,AF , BF,before,1,1,1,3e+05,0,0,3e+05,0,3e+05,3e+05,0,0,none
29-028_E10_before,29-028,E10,03/16/18,1654,SR,GZ,before,0,2,2,278825,21174,292298,7699,278825,0,0,299998,0,freeze
29-028_E10_before,29-028,E10,03/16/18,1654,SR,GZ,before,1,1,1,284243,15757,291640,8360,284243,0,0,3e+05,0,freeze
29-028_E11_before,29-028,E11,03/16/18,1720,SR,GZ,before,0,28,9,45805,254194,0,299997,0,45805,104004,195994,4577,jerky swim
29-028_E11_before,29-028,E11,03/16/18,1720,SR,GZ,before,1,52,7,735,299265,3419,296581,0,735,251964,48036,0,jerky swim
29-028_E6_before,29-028,E6,03/13/18,1604,AP,SR,before,0,8,7,199671,97330,267388,29614,199671,0,10992,286011,0,other swim
29-028_E6_before,29-028,E6,03/13/18,1604,AP,SR,before,1,14,7,83574,216426,172073,127927,83574,0,51912,248088,0,other swim
29-028_E7_before,29-028,E7,03/13/18,1636,SR,AP,before,0,14,9,191593,106492,123916,174170,85932,105661,114001,184086,0,freeze
29-028_E7_before,29-028,E7,03/13/18,1636,SR,AP,before,1,16,8,159404,140596,41429,258571,0,159404,7070,292930,0,freeze
29-028_E8_before,29-028,E8,03/13/18,1730,AP,SR,before,0,56,8,4584,293147,2320,295410,0,4584,149047,148685,3856,Other Swim
29-028_E8_before,29-028,E8,03/13/18,1730,AP,SR,before,1,30,8,37399,262601,34815,265185,0,37399,132880,167120,3344,Other Swim
29-028_E9_before,29-028,E9,03/15/18,1720,AP,GZ,before,0,18,9,127290,172708,201335,98662,108411,18879,7870,292127,133319,fast start
29-028_E9_before,29-028,E9,03/15/18,1720,AP,GZ,before,1,67,9,0,3e+05,13554,286446,0,0,210078,89922,1070,fast start
30-002_E10_before,30-002,E10,03/16/18,1239,AM,KJ,before,0,10,8,166034,133963,195726,104272,158966,7068,52204,247795,0,none
30-002_E10_before,30-002,E10,03/16/18,1239,AM,KJ,before,1,1,1,237553,62447,3e+05,0,237553,0,0,3e+05,0,none
30-002_E11_before,30-002,E11,03/16/18,1520,GZ,SR,before,0,6,2,115963,184036,78992,221005,47726,68237,169668,130330,0,Fast start
30-002_E11_before,30-002,E11,03/16/18,1520,GZ,SR,before,1,7,5,123460,176540,160062,139938,123460,0,255007,44993,2946,Fast start
30-002_E12_before,30-002,E12,03/16/18,1553,SR,GZ,before,0,6,3,196784,103215,102982,197015,71397,125387,274914,25084,0,freeze
30-002_E12_before,30-002,E12,03/16/18,1553,SR,GZ,before,1,4,3,159191,140809,208002,91998,120475,38716,54515,245485,0,freeze
